Speaker,Transcription,Transactivity,Regulation,dialog_id,Transactivity 
AI,"I really don't know, because that's all the articles said, just that they performed better at the end, you know, for the final result. But I don't know if they then became like, you know, better knowledge seekers afterwards. I think this was mostly for that one specific, ",,,SC1 12.07,INT
AS,"but that's how, when they were in their small groups, did they only have one role or did they switch between roles as they were performing, as they were doing their activity?",,,SC1 12.07,ELI
AI,"See, don't. I thought while I was reading it said that they switched the roles, which makes sense to me as well.",,,SC1 12.07,EXT
AS,Yeah.,,,SC1 12.07,ELI
AI,"But at the end that kind of implied that they that there was only one person and the person, does the person in that one role perform better overall, Which kind of implies that there was usually only one, you know, like that they didn't switch.",,,SC1 12.07,CON
LC,Yeah,,,SC1 12.07,EXT
AS,"well, maybe you can just look at it again and I'll work on if they switch roles, then yes, then good for internal scripts because they learn from each other. If not, then we gotta figure something out.",,,SC1 12.07,Q
LC,"Well, if not that, that can be also a conclusion. Like it's not and it's not a specified what exactly is that good for?",,,SC1 12.07,EXT
AS,"Oh OK, it it is unspecified if they internalized anything, right?",,,SC1 12.07,ELI
LC,Yeah,,,SC1 12.07,Q
AS,internalize anything because everything was because all scripts remained external.,,,SC1 12.07,ELI
AI,"One thing I can tell you though, is that there was someone with the role of like making conversation and argumentation happen. So they did participate like kind of more in the collaboration process, which would be some like kind of internalization.",,,SC1 12.07,EXT
AS,Say it again? One person what?,,,SC1 12.07,EXT
AI,"One person had the role of like have having the argument going, you know, so they collaborated better. I don't exactly remember what his job was, what he exactly did, but you know, he like was like, OK, what's your exact argument? What's your counter argument? How do you like…",,,SC1 12.07,Q
AS,"See then that would be an argument for external scripts because you have somebody outside. It's it's like the guide or the teacher and then, no?",,,SC1 12.07,Q
AI,"I mean, yeah, it would be just a student with the role of someone giving an external script, I guess. Yeah.",,,SC1 12.07,EXT
AS,"So yeah, that's that'll that'll go into the. If not, then if not, it is unspecified if the internal is anything, because all scripts remain external, especially with the guiding student, right. Something like that.",,,SC1 12.07,Q
AI,Sounds about right.,,,SC1 12.07,Q
AS,"OK, sounds good. EN wrote. In my papers also with the effects of structure, oral versus external scripts, written external scripts on the quality of argumentative output. OK.",,,SC1 12.07,ELI
HA,"I think like I I only I also have like one article like that and like they actually our argumentative script kind of like belong to macro like macro script. They like they guys something general and in the high level of complexity like the complex like negotiate, argue, argue and like things like that but micro is like what you do and very specific. So like they said that the macro are more beneficial for individual.",,,SC1 12.07,ELI
AS,Macro.,,,SC1 12.07,EXT
HA,"Yeah, So ",,,SC1 12.07,EXT
AI,Because we then over scripting ,,,SC1 12.07,ELI
LC,Doesn't have it as well or ,,,SC1 12.07,Q
AS,"what's that, LC, what'd you say?",,,SC1 12.07,Q
LC,"Yeah, macro scripting would be related to somehow to general domain knowledge?",,P,SC1 12.07,ELI
AS,No macro is external I think.,,P,SC1 12.07,Q
HA,Yeah,,,SC1 12.07,EXT
AS,"yeah, macro xxx",,P,SC1 12.07,CON
HA,"But I think like macro and micro, they mention about the kind of complex kind of high level or low level. Like micro, they instruct you to do very specific thing like aim to specific tasks. But macro it…",,P,SC1 12.07,Q
AS,the general instructions.,,P,SC1 12.07,EXT
HA,"Yeah, for example like just like read this text and summarize it, It could be, I don't know, like or like what what does the author want to say in that sentence? It's kind of micro, but like macro is like just critique it or make an argument to the author like more high level and more complex and more abstract. Uh things like that. Yeah I I need to like umm revisit my my document. That's what I I remember.",,P,SC1 12.07,ELI
AS,"OK, but I sorry just for AI there. Did you do you have another one that you saw or ",,,SC1 12.07,
AI,Nothing really useful honestly.,,P,SC1 12.07,EXT
AS,OK,,P,SC1 12.07,
AI,"some of them mentioned fading, but ",,F,SC1 12.07,ELI
AS,"yeah, so can do you think we could fit either one of these or both of these into one of the seven?",,F,SC1 12.07,CON
AI,"Honestly, looking at the seven principles you wrote, I really have to read them like for 50 minutes at least each to figure it out, but maybe 50 minutes each. Then I really have tried to read them and understand. It was like, I don't get that.",,F,SC1 12.07,Q
AS,"OK. Do you want to just go through these then, you guys?",,F,SC1 12.07,Q
AI,"Not today, we only have 15 mins for you to go to class.",,F,SC1 12.07,Q
LC,Yeah.,,F,SC1 12.07,ELI
AS,"But like, again, I'm not trying to take over or anything. I hope that's not coming across that way. But for me, like this, I think if we just all did this for each of our articles and then just assigned it to one of the seven principles, we answer all three questions. Is that not correct or?",,F,SC1 12.07,Q
LC,"Well, like How, how do we know if if if they're gonna like specifically go to one of those seven domain, like they could go to actually a few of them or none of them. And that's why we say like that's why I feel it's gonna be really, really time consuming and we didn't have that much time. Like, I get your idea and I actually like it. Yeah, it is really time consuming and we didn't have that much time because it's not only this, we have other other you know other.",,F,SC1 12.07,Q
AS,The solution would be to get rid of question too then ,,F,SC1 12.07,EXT
LC,"or see if like if we're since we're trying to like go for an internalization and and everything see if one of the articles or the articles we have go like go for that. Like, does this talks about internalization? Yes, No. And then how many of the articles we looked for or we found go for this principle of internalization.",,F,SC1 12.07,ELI
AS,"But, but that's but the principle. You mean from the guidance like is that what's isn't that the same thing then?",,F,SC1 12.07,EXT
LC,"No, because you wouldn't have to explain how they are like if we do this, yeah we will have to explain like this relate us to the 1st and the 2nd principle because this and this and that. And that's why I'm saying we didn't have time for but we were talking in the beginning about an internalization. So let's just stick to that and let's explain like this and this and this article that we found. They do relate with this principle because this and that the others don't and it's gonna be. I think it's could be easier for all of us.",,,SC1 12.07,
AI,Yeah,,F,SC1 12.07,EXT
AS,"Yeah that's not that sounds fine. But when you the only thing question I have is like when you say relates to this principle, what do you mean by principle?",,F,SC1 12.07,ELI
LC,"Like what are we specifying with like the wait wait, give me a second. OK, what from the seven principles? Let's pick one. I mean which could be transactivity principle or internal script induction principle, or if we want to do something nicer than the two of them. But then just let's just analyze our data with these two principles like they they fit in or they doesn't.",,F,SC1 12.07,Q
AI,"Can I quick question? the Third Point, internal script induction principle, is that kind of not internalization, just, yeah, that whole aspect?",,F,SC1 12.07,Q
LC,"which is exactly what we were looking for, Yeah, in the 1st place.",,R,SC1 12.07,Q
AI,"So yeah, that would work, right. We just say this is the third principle and we're looking for that, the internalization aspect.",,,SC1 12.07,EXT
AS,So stick with #3.,,,SC1 12.07,Q
LC,"Yeah, I I think, yeah. OK. Let me see. Let me wait for a second. Or the transactivity principle. That would be, yeah.",,,SC1 12.07,Q
AS,"And number six, we could do 3, 5 and 6.",,F,SC1 12.07,EXT
AI,"3, 5 and 6?",,F,SC1 12.07,INT
AS,Then at least we're specifying,,F,SC1 12.07,Q
AI,"How about we say we're doing the internalization based on these three principles. So we're focusing on the internalization and the internalization for us means the, yeah, third aspect, the 5th aspect. And you said the 6th one was like the external script guiding, right?",,R,SC1 12.07,EXT
AS,"Yeah, Yeah. And I I see, I, LC, I see, I I see what you guys are saying now like because if we do all seven then it might become too much because yeah, all seven don't really relate to external to internal. But these three do.",,,SC1 12.07,Q
LC,Exactly. Yeah. Thank you.,,,SC1 12.07,Q
AS,OK. Is that OK with everybody then?,,,SC1 12.07,Q
AI,Yeah,,,SC1 12.07,EXT
HA,Yeah,,,SC1 12.07,EXT
EN,Of course,,F,SC1 12.07,EXT
HA,Actually like I can see the script area of guidance like in like it. Yeah. I don't know even when we don't like mention directly it but like it it line.,,F,SC1 12.07,EXT
AS,"Yeah It lines up. Yeah, yeah",,F,SC1 12.07,ELI
HA,"Yeah, yeah. It's I even the criteria that they categorize script and they they had a way they evaluate. I I found when I read it I found it lined behind everything.",,F,SC1 12.07,EXT
LC,"Yeah guys, one tiny question. Well, we're gonna do that and then the categories of different types of scripts I only have two. I'm missing 2, I'm sure Argumentative scripts, collaboration scripts, what else?",,OT,SC1 12.07,ELI
AS,"Well, those only ones we have so far. Like I I think we were. We were supposed to have gone through everybody's articles.",,OT,SC1 12.07,Q
HA,Yeah,,,SC1 12.07,
AS,"To figure out which ones more there are, but if But I think just three more. We just did AI's, so if we can, maybe you have to do it on our own time now. I said like AI, you're basically done though. ",,,SC1 12.07,EXT
AI,"I have a third one by the way, just a third aspect that might be important. I don't know the fading aspect of scripts. Because when they faded the scripts, you know, it was better for the, for the students who already had a good internal script, it helped them so that overscripting didn't occur. You know, ",,OT,SC1 12.07,EXT
AS,"fading could be the third category, like a fading script?",,OT,SC1 12.07,EXT
AI,"They usually said like, OK, this is argumentative script. That's the one part that they did. So we have a group that has a script and we have a group that doesn't have a script. And then they had the second in the variable that was like, how much did the script like happen? Like, you know.",,OT,SC1 12.07,EXT
LC,Yeah,,OT,SC1 12.07,EXT
AI,"If it faded or not, they usually did that together.",,OT,SC1 12.07,Q
LC,"Yeah. Because they they always like no matter what, what kind of a script I think they always fade at some point.",,OT,SC1 12.07,ELI
AS,"OK Well, we don't have to be concrete in the ones that we find right now the I think they can change because all it is like if we change the name all we have to do when we are writing our paper is go back and change.",,OT,SC1 12.07,Q
HA,Yeah,,OT,SC1 12.07,EXT
AS,The type.,,OT,SC1 12.07,EXT
LC,Yeah,,OT,SC1 12.07,Q
AS,"But it's it's just a, it's a simple, you know.",,OT,SC1 12.07,EXT
HA,Yeah,,OT,SC1 12.07,Q
AS,"Yeah, I think the only the only other thing that we really do need to worry about right now is this we have to have hypotheses. Like, I can make them up . ",,OT,SC1 12.07,EXT
AI,"yeah, no no ",,F,SC1 12.07,EXT
LC,"I mean because since this is exploratory, I'm not sure we should have an hypothesis. But like if it's necessary and you can come up with one.",,F,SC1 12.07,
AS,"That's what Maria was saying last time, though, that we have to have hypothesis based on our. So we can say so. Like, we can just say like, so if the like, if argumentative is one of the type of scripts, we can say we think that argumentative type scripts will lead to internalization. And then at the end we just have to say for right or wrong.",,F,SC1 12.07,Q
LC,Yeah,,F,SC1 12.07,EXT
AI,We can also say that we assume that there will be these types of scripts because the first question is what types of scripts will we have so.,,F,SC1 12.07,Q
LC,"Yeah, because like the thing with the hypothesis is that you get a point out, one hypothesis for question for each question? So like, I don't know, not sure we need a hypothesis for all of them.",,R,SC1 12.07,Q
HA,Yeah,,OT,SC1 12.07,EXT
AS,Hmm,,OT,SC1 12.07,Q
HA,"Yeah. I think my hypothesis is something that we can make after we finish things. Yeah, I believe, yeah.",,OT,SC1 12.07,Q
AS,"Yeah, that's OK. So then should I delete the second question and just make a note that, uh, to answer these things, we are using the script Theory of guidance.",,OT,SC1 12.07,EXT
HA,"Personally, I prefer that.",,,SC1 12.07,
LC,"Yeah. Better. That would be better, actually.",,,SC1 12.07,
AS,"OK, so let's get rid of this. Goodbye, man.",,,SC1 12.07,
HA,"Yeah, get rid of it. ",,,SC1 12.07,
AI,We never liked you anyway. ,,,SC1 12.07,
AS,OK And then I'm just gonna write down here and we will use…,,,SC1 12.07,
HA,Yeah. Actually like after today I will try to like make a graph or like the the system of categorize that like I I have based on that theory on. So maybe it could be like a framework for us maybe we will discuss this tomorrow.,,,SC1 12.07,
AS,OK HA what you just say what are you gonna do?,,,SC1 12.07,
HA,Yeah. I think like after today I will try to revisit my document and then like like make kind of a system to categorize it. I feel like from what I read we can put like all of this tavascript in in that system. I will try to find it.,,,SC1 12.07,
AS,Don't get yourself doing that. I think maybe the way that we've been doing it might be OK.,,,SC1 12.07,
LC,"I'm I'm actually thinking about something like that because it's good for the results to show something super specific. So I'm doing this, I'm sorry, I just love tables and but I'm gonna put it in the end of the, in the in the end in the end of the document. So we could do something like this, like and that will make easier to analyze the information because it would be super visual what works and what doesn't. (murmuring)",,,SC1 12.07,
AS,You wAI share?,,,SC1 12.07,
LC,"No. It's, it's in the last document.",,,SC1 12.07,
AI,"Oh, at the bottom.",,,SC1 12.07,
LC,Yeah,,,SC1 12.07,
AS,"Oh, I see.",,,SC1 12.07,
LC,"And then we keep adding like the categories of analysis because that's what the method says, actually. Yeah, like we're finding. We're trying to find here categories of analysis, which are these ones. And types of scripts, which are these ones.",,,SC1 12.07,
HA,"Actually, I'm doing the same. I'm doing kind of the same, but I really like this table.",,,SC1 12.07,
LC,Oh really?,,,SC1 12.07,
HA,"Yeah, I'm doing kind of the same here. And like in the row it is the type of script. And in the column is the benefit. It's kind of benefit of the the outcome.",,,SC1 12.07,
AI,"OK, it's honestly good. At least we're all on the same page",,,SC1 12.07,
HA,tick like this. Tick like this.,,,SC1 12.07,
AS,"But we should also finish this part, right? Like each person should go through, like what we did there. So then we actually have written information.",,,SC1 12.07,
HA,"Hmm, actually, I have it already in my writing. I have the type of script and then the benefit already.",,,SC1 12.07,
AS,"Oh, really?",,,SC1 12.07,
LC,"Yeah, I'm sort of trying to do that as well. And like and let's focus on this or or where like if you wAI change categories, it's fine, but like let's focus on specific categories like you know, it's for it to make like the whole bunch of info because we have still a lot of information and it's it's hard to summarize that. So let's focus on this. Like, if you wAI add some categories, but let's make them visual so we can all, like, see at the glance.",,,SC1 12.07,
AS,see at the glance.,,,SC1 12.07,
LC,Yeah. See what the study is about.,,,SC1 12.07,
AS,"OK, yeah, that's cool. So then what is our homework then?",,,SC1 12.07,
AI,"I mean, we meet tomorrow again. (sneering)",,,SC1 12.07,
AS,Yeah,,,SC1 12.07,
AI,"You haven't forgotten. I mean, you could also like, do the do what you did with my notes today, I guess. Maybe?",,,SC1 12.07,
AS,"Yeah. And then put that. And then put that information into LC's table, essentially, like if you come up with a new type of script or where it would fit in the categories. Right? Is that, is that what we're saying?",,,SC1 12.07,
HA,Yeah.,,,SC1 12.07,
LC,Yeah. I guess so.,,,SC1 12.07,
AI,"I can tell you something. I didn't hear the last like 10 seconds of what you were saying because my Internet connection does that. Like I missed the 1st 5 seconds and then it kind of cuts in. I just see you moving, but I don't ",,,SC1 12.07,
AS,Disagree. No.,,,SC1 12.07,
HA,"So LC, can can you repeat that…So LC, like you said that whenever we find a new category, we need to make sure what what is the the rest part of your saying?",,,SC1 12.07,
LC,"Well, like whenever we find a category, I know, OK, so we got our, our paper and we got like the type of script that we think our paper belongs to. And then the independent variables, they the, I'm sorry, the dependent variables they used like they were trying to achieve better argumentation or they were trying to achieve better argumentative knowledge or were they just or it's nonspecified like. But I mean if they if they had dependent variables, it should be specified there. So we should find the dependent variables in our articles and see to which category they belong. You know like because that's in the end what they are answering like they they And so yeah that's what we try to mix together.",,,SC1 12.07,
AI,I missed the last 10 seconds. Do you mean with dependent variables like this the type of script?,,,SC1 12.07,
LC,"The dependent variable is usually what I've noticed in this papers is that it it is usually, I don't know strategy knowledge or over specific domain knowledge or argumentative knowledge or that would be actually I just found one something else. The dependent variables is what they are trying to measure, you know, so and then which a certain kind of script that they are not specifying. But like that's what we are going to find out.",,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,"And then I guess we also have to say yes. Like, we should have one not for the table, for the, for the, for the actual paper, but maybe just for our minds. Like one, like one more column that says yes. No, we'll just say yes. We see external to internal or no, we don't.",,,SC1 12.07,
LC,We could put that somewhere.,,,SC1 12.07,
AS,Where you figured the table out. I'm not good at that stuff.,,,SC1 12.07,
LC,"OK, I'll, I'll, I'll find a way to put that because yeah, this could be a really nice thing to put actually in the paper and like, yeah, ",,,SC1 12.07,
AS,OK,,,SC1 12.07,
LC,"Because it gives the idea of, like, it's super quick Like, what's this about? and what were our results?",,,SC1 12.07,
AS,"Yeah. OK. OK, that's cool. And then so this is due in how many days? 11 days? Is that they said?",,,SC1 12.07,
LC,Yeah,,,SC1 12.07,
AS,"OK then, Yeah. I don't know. So, LC, are you OK with the, the methods part?",,,SC1 12.07,
LC,"Yeah, I'm on. I mean, it's not that long. I'm almost done with this. I'm, I'm, I mean I'm gonna keep writing about like I'll describe these meetings and I'll describe this process and if you want and if you if you see something else that's not there or that should be changed, you can tell me. But like the the thing that's left here to do is basically describe these meetings, this and then say that we came up with the solution, which was the little table that we're putting down there. And how do you mean by this?",,,SC1 12.07,
AS,What?,,,SC1 12.07,
LC,What do you mean with this? How did we keep the articles?,,,SC1 12.07,
AS,"That's that's what Maria had said. So we should like we only read the, like we read eight articles fully and then the other ones we only read the abstract and the conclusion, things like that. I think maybe to help LC out, we can actually just make little notes and say how each of us did it and she can write it in. Is that good for you, LC?",,,SC1 12.07,
LC,Yeah like if you want you can like right here how how did you do it. Although yeah I think it's gonna be the same for us like we all need to like I I have to come up with a single thing to to yeah process ,,,SC1 12.07,
AS,"just just write it then and then yeah and then yeah. But what about the other parts then analysis and results we're doing together scenes and then what's after that? And then discussion and limitations, recommendations for future research and conclusions. Does anybody wAI take charge in any one of those spots?",,,SC1 12.07,
LC,"Yeah, I can do the word discussions and limitations, Recommendations for feeder research or conclusions. It's fine for me. Or discussions and limitations because you have the most of the articles.
So…",,,SC1 12.07,
AI,Hmm,,,SC1 12.07,
LC,"…I think you can just keep doing that and then when that's done, I can do the the other part. If if we did, ",,,SC1 12.07,
HA,"Yeah, either future like something that, like we can suggest for the future is a systematic way to categorize.",,,SC1 12.07,
AS,"Yeah, yeah. But do you guys wAI do all of these in pieces or do you want us, should we assign one per group member?",,,SC1 12.07,
AI,"It's just that they're not all equally, you know, like the introduction and explaining the whole topic, that's gonna be a big chunker.",,,SC1 12.07,
AS,Yeah,,,SC1 12.07,
LC,Yeah,,,SC1 12.07,
AS,"yeah, that's true.",,,SC1 12.07,
AI,You get what I mean? Do you hear me?,,,SC1 12.07,
AS,"Yeah, yeah, yeah, yeah. Can you hear us?",,,SC1 12.07,
AI,(fist pump) Thank you. You know what? Today's not my meeting.,,,SC1 12.07,
AS,Can you hear us?,,,SC1 12.07,
AI,"Yeah. Sometimes it's fine for like 5 minutes. And then it's like, yeah, today not.",,,SC1 12.07,
AS,"Well, what you're saying is that it's the categories are…",,,SC1 12.07,
AI,"like for example, right now I see you moving and I think you're talking, but",,,SC1 12.07,
LC,"OK, that's crazy.",,,SC1 12.07,
AS,"I'm talking now.  But you're saying you're saying that the categories are unequal, right? Like in terms of workload. Ah, she can't hear us. What are you, LC, HA and EN? What do you guys think? Like how should we distribute the work 'cause we gotta get it done soon.",,,SC1 12.07,
LC,"Yeah, like you. I mean what I think is I did my article and I don't have any others, like I have another one which is the the other. I mean I I just only I have two. So that's it. I'll be done and I wAI look for the articles and then I'll wait until you do the other articles and get the results and like show me the results so I can write, for example, the discussion or like the the concussions or I don't know.",,,SC1 12.07,
AS,OK,,,SC1 12.07,
LC,Or both,,,SC1 12.07,
AS,Yeah,,,SC1 12.07,
EN,Sorry. Should you still be looking for article by this time? I don't know. Probably you're now up to seven. But I don't know. Would you still be Maybe you should channel that energy into something else I think.,,,SC1 12.07,
AS,"Oh, sorry, EN. You you cut out there too, my friend.",,,SC1 12.07,
LC,"No, no, no. But I got it. I got him. I I think I got you Emanual. Yeah. We shouldn't be looking for more articles at this point. That that what we got is what we got. And that's it.",,,SC1 12.07,
AI,Yay. Nice.,,,SC1 12.07,
LC,"Yeah, that. Like, if we are gonna look for any other sort of reference to to whatever, to to write anything else, that's another thing. But no more articles to analysis. That's why I'm saying, like, I won't look for anything else. I'll just wait for you to write it results. So I can start writing with the results. I can start writing the the discussion.",,,SC1 12.07,
AS,"So who wants to do that part then? Like I'm gonna stick with the introduction I if nobody wants to do to to to to compile the analysis, I will do it. But does 'cause that is also a task. So I think that should be you know specified to one person or maybe two people to do that.",,,SC1 12.07,
LC,OK xxx  ,,,SC1 12.07,
AI,xxx attempt if you help me ,,,SC1 12.07,
EN,I’ll do all parts. Sorry xxx,,,SC1 12.07,
AS,Umm am I still sharing my screen?,,,SC1 12.07,
AI,Yeah.,,,SC1 12.07,
AS,"OK. So for this part, the, the analysis and the results, right.
Like we each have to. Sorry. This part, we each have to give our own analysis from the articles that we read. But somebody has to put it all together.",,,SC1 12.07,
AI,Mhm,,,SC1 12.07,
LC,"OK, Well, then. OK, No, this is better. I could do that.",,,SC1 12.07,
AI,"No, LC, you're doing too much.",,,SC1 12.07,
LC,"No no no, instead of the discussion, because that would also help me to understand better all of the articles.",,,SC1 12.07,
AI,"OK, OK",,,SC1 12.07,
AS,"OK, So then LC. Yeah, let's leave it to LC. AI, do you wAI help her with that then, or?",,,SC1 12.07,
AI,"Yeah, actually, that's a good idea.",,,SC1 12.07,
AS,Why don't LC and AI do that together then?,,,SC1 12.07,
LC,OK,,,SC1 12.07,
AS,"OK, so I'm just going to LC and AI here, OK. And of course, but this is LC and AI will do the putting it together. Yeah, yeah, together part. But everyone has to input the research question answers for their specific articles, because it's not fair if LC and AI have to read all the articles too.",,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,"They just have to, yeah. Put the information together. And then when we get after that, then, then we have the discussion and limitations?",,,SC1 12.07,
LC,Yeah,,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,And then recommendations of future research. And then I can do conclusions again because I think the introduction and the conclusion are pretty much the same thing.,,,SC1 12.07,
LC,Yeah,,,SC1 12.07,
AS,"Right? And I can just kind of reword it. So, yeah, umm, so the discussion and limitations and recommendations, that's gonna be EN or AI, Umm, HA.",,,SC1 12.07,
HA,"Like, yeah, I I can go for anything of it because I think the most important thing now is analyze it and category After that like we can write the other thing like kind of quick I think. So I am OK to make any and also the introduction part like I, as I send, AS, like I in my reading I I gather a lot of information like that. So if you need it it are you done with that?",,,SC1 12.07,
AS,"together we can do together, yeah.",,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,"So EN, do you have a, do you have a preference, discussion of limitations or recommendations for future research?",,,SC1 12.07,
EN,"Yeah, I could do that part.",,,SC1 12.07,
AS,Which one?,,,SC1 12.07,
EN,Discussions on limitations.,,,SC1 12.07,
AS,OK. So EN,,,SC1 12.07,
HA,"Oh I I think it's the LC's part because like, she want to.",,,SC1 12.07,
AS,"No, she switched.",,,SC1 12.07,
LC,It's fine. I'll do the analysis of results.,,,SC1 12.07,
HA,"Oh yeah, Yeah.",,,SC1 12.07,
LC,"And yeah, and then AS, if you need help with the introduction, uh, because it's uh, a lot of terms should be like and reading there and you can tell me as well.",,,SC1 12.07,
AS,"OK, you know what? Maybe I'll go through it again, 'cause the introduction has different parts, has the abstract, has the defining. So maybe we could even split that up a little bit more.",,,SC1 12.07,
LC,"Yeah. We can, like, try to divide, uh, the terms. Because the, the, the thing with the introduction is that we should define everything that we're gonna see later.",,,SC1 12.07,
AS,Yeah,,,SC1 12.07,
LC,"Like which kind of knowledge? Which kind of… Yeah, whatever. So it's a lot.",,,SC1 12.07,
AS,"Yeah. So I'm going through it and then anything I'm missing, just just add it in there. And then does somebody wAI do the… the abstract should be last, right?",,,SC1 12.07,
LC,That's the last thing.,,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,because you won't even worry about that. ,,,SC1 12.07,
EN,xxx,,,SC1 12.07,
AS,What's that? (pause) OK And then recommendations for future research. Should we do that last two or does somebody wAI take that part or.,,,SC1 12.07,
HA,I can,,,SC1 12.07,
AS,What about HA and EN? Then I think it's evenly spread all the work.,,,SC1 12.07,
HA,"Yeah. And anyone like, can feel free to do any yeah, our own stuff.",,,SC1 12.07,
AS,"I agree with that too. Like, if you look, if you like, we should guide each other. Like if read what other people wrote, go, hey, I think this is missing. Or hey, we should add this. Or is this too much?",,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,"AI, did you say something?",,,SC1 12.07,
AI,"No, I just agreed. I think that's great if we can all do something because I don't know if I'll have time this week, but then I'll have more time next week or something like that, you know?",,,SC1 12.07,
HA,Yeah. I hope that we can done get it done very soon.,,,SC1 12.07,
AS,Yeah. OK. So the homework then is for each of us to…,,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,"…to do this, yeah, everyone has to input the research, question, answers for the specific articles. That's what each of us has to do. And then everybody else just try to do your own part.",,,SC1 12.07,
LC,"Guys, Is it OK if we put some sort of deadline for the if input of the results? Because otherwise we cannot analyze.",,,SC1 12.07,
HA,Yeah I think I almost done with it just xxx and make it like ,,,SC1 12.07,
AS,when when do you wAI start working on it LC? Like when is a good time for you to start working on it because we can meet the deadline then.,,,SC1 12.07,
LC,I don't know I I I really suck at at looking into dates and time but just you tell me guys when should I start.,,,SC1 12.07,
AS,AI do you have a specific time? Because you're that's your part as well.,,,SC1 12.07,
AI,"I've I put some time for Friday, so by Friday I'd like it to be done.",,,SC1 12.07,
AS,"OK. Is that a EN? HA? Is that OK for you? Friday, having this part done?",,,SC1 12.07,
HA,"Yeah, I that's OK for me, right.",,,SC1 12.07,
LC,"So that means on Friday night I can sit down and start doing my part, right?",,,SC1 12.07,
AS,"So a deadline, Friday morning",,,SC1 12.07,
LC,Yes,,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,"And then Friday night you guys can start. Is that, EN that's OK?",,,SC1 12.07,
EN,"Yeah. I think LC has to finish our analysis part. So to enable me do the discussion part, That's what I think.",,,SC1 12.07,
HA,Yeah,,,SC1 12.07,
AS,"Yeah, That's why we gotta keep. Yeah, that's how we move forward. So yeah, I think Friday is OK for everybody then Friday morning. So Friday morning, EN, HA and I have to have our part done, 'cause AI's is done now. And then Friday night, LC and AI will work on that part. And then from there, we can do the rest, the discussion and all of those other things, right?",,,SC1 12.07,
HA,"Yeah, yeah.",,,SC1 12.07,
AS,"And I'll just do do the intro anyways, 'cause there's a lot to write.",,,SC1 12.07,
AI,So quick question.,,,SC1 12.07,
AS,Yeah,,,SC1 12.07,
AI,"Tomorrow. Do we still need to meet up if we already have homework? Because Maria wanted to jump in, right?",,,SC1 12.07,
AS,Yeah. We have to meet up for Maria tomorrow. That's the point of ,,,SC1 12.07,
AI,to meet four.  OK Yeah.,,,SC1 12.07,
AS,"Like, yeah, we have to present this to her tomorrow.",,,SC1 12.07,
AI,OK,,,SC1 12.07,
LC,But that can be done quickly like.,,,SC1 12.07,
AS,"Yeah, once we're done meeting her, then we can just kind of go our own way.",,,SC1 12.07,
AI,OK.,,,SC1 12.07,
HA,Yeah.,,,SC1 12.07,
LC,Yeah. Just like ,,,SC1 12.07,
EN,"I'm sorry, I was gonna, could we, like, make our meeting a bit earlier? It's a lot easier for me if you have to meet earlier ",,,SC1 12.07,
AS,On Wednesdays?,,,SC1 12.07,
EN,"Yeah, on Wednesdays.",,,SC1 12.07,
AI,"Oh, for tomorrow. It's kind of hard because Maria wants to join at that time, I think somewhere around that time, right?",,,SC1 12.07,
EN,"OK, so what's gonna happen? I think I would reach out to Maria. Just ask her if maybe she has space for an earlier. But if if it's fine, we just need to have a lot of time.",,,SC1 12.07,
AS,"OK, Let let us know then. Because it it it's OK for me to meet a little bit earlier.",,,SC1 12.07,
HA,Me too.,,,SC1 12.07,
LC,Me too.,,,SC1 12.07,
AS,"So, EN. Just talk to Maria, see if she's OK with it. If she's OK with it, Message us in the WhatsApp group, and then we'll all just meet earlier. But it's up to Maria at this point. I think that wasn't OK.",,,SC1 12.07,
EN,xxx (bad connection),,,SC1 12.07,
AS,I think we all have our tasks.,,,SC1 12.07,
LC,Yes,,,SC1 12.07,
AI,Mm hmm.,,,SC1 12.07,
AS,"OK. We gotta go LC and I are 20 minutes late for our next meeting, so yeah, yeah, yeah.",,,SC1 12.07,
HA,Can I stop?,,,SC1 12.07,
AS,Yeah,,,SC1 12.07,
AI,Alright. Have a great day then.,,,SC1 12.07,
AS,Goodbye guys. See you later.,,,SC1 12.07,
LC,Bye guys. I'll see you in a second AS.,,,SC1 12.07,
AI,"HA you also need to leave, right?",ELI,,SC1 12.08,
HA,"Ah yeah, because my meeting will be at five. 3:00 PM your time. So just like if you need to say something, anything, just yeah, it's OK. It's OK.",QC,,SC1 12.08,
LC,"Yeah, you got like 5 minutes.",EXT,,SC1 12.08,
AS,"Yeah, well this is well, apparently we got the due date wrong. It's due on Monday, right?",ELI,,SC1 12.08,
AI,"And the the final draft kind of. Yeah, it's not particularly the whole final draft. It's something that we can give someone else to read, and then they can give us feedback.",EXT,,SC1 12.08,
AS,Yeah. Well. I don't know how do we proceed.,EXT,,SC1 12.08,
HA,"You know, like in (interrupt)",EXT,,SC1 12.08,
